purchase_order_id,customer_id,amount,order_date
1,4,44219,2015-06-05
2,3,46054,2015-06-24
3,5,23141,2015-06-13
4,9,29903,2015-06-24
5,9,21027,2015-07-01
6,8,17554,2015-06-25
7,7,2844,2015-06-26
8,1,39795,2015-06-28
9,7,38491,2015-06-14
10,7,107,2015-06-04
11,4,7115,2015-06-13
12,4,48792,2015-06-21
13,4,11444,2015-06-27
14,3,18649,2015-06-04
15,1,42228,2015-06-26
16,1,47143,2015-06-21
17,5,31160,2015-06-30
18,1,28781,2015-06-15
19,6,43525,2015-06-23
20,7,32320,2015-06-11
21,3,44841,2015-06-15
22,8,9797,2015-06-04
23,2,10438,2015-06-09
24,7,2563,2015-06-15
25,3,28745,2015-06-26
26,2,13549,2015-06-11
27,4,44056,2015-06-22
28,8,16905,2015-06-23
29,1,34265,2015-06-09
30,3,3746,2015-06-21
31,2,28532,2015-06-09
32,7,31299,2015-06-15
33,5,36308,2015-06-06
34,1,32905,2015-06-19
35,2,44180,2015-06-13
36,7,16533,2015-06-27
37,5,2833,2015-06-26
38,7,36253,2015-06-12
39,9,13451,2015-06-30
40,1,42792,2015-06-25
41,6,34903,2015-06-03
42,9,151,2015-06-19
43,1,33349,2015-06-12
44,7,39570,2015-06-23
45,6,6098,2015-06-07
46,6,23538,2015-06-23
47,3,43057,2015-06-22
48,1,39099,2015-06-29
49,7,13476,2015-06-25
50,8,25420,2015-06-08
51,4,9498,2015-06-25
52,2,13650,2015-06-21
53,2,47619,2015-06-25
54,2,24492,2015-06-29
55,5,14367,2015-06-08
56,2,29932,2015-06-21
57,1,41021,2015-06-19
58,4,38455,2015-06-08
59,2,28444,2015-06-04
60,4,39067,2015-06-18
61,9,10571,2015-06-13
62,2,139,2015-06-28
63,3,22109,2015-06-23
64,3,14552,2015-06-26
65,1,23833,2015-06-06
66,4,42987,2015-06-23
67,2,26026,2015-06-25
68,7,22361,2015-06-11
69,7,2469,2015-06-19
70,2,8314,2015-07-01
71,3,47831,2015-06-07
72,5,24836,2015-06-26
73,7,44424,2015-06-03
74,1,20050,2015-06-08
75,1,41102,2015-06-21
76,6,38338,2015-06-03
77,8,24512,2015-06-10
78,6,35776,2015-06-16
79,7,13960,2015-06-21
80,6,31726,2015-06-21
81,2,5237,2015-06-23
82,9,38793,2015-06-20
83,5,25075,2015-06-09
84,1,3520,2015-06-14
85,1,4481,2015-06-12
86,5,34927,2015-06-20
87,4,30722,2015-06-23
88,3,35578,2015-06-28
89,5,14738,2015-06-11
90,8,1357,2015-06-27
91,7,47073,2015-06-21
92,5,32394,2015-06-08
93,5,30840,2015-06-24
94,8,26430,2015-06-14
95,3,1774,2015-06-17
96,6,18842,2015-06-04
97,7,45722,2015-06-20
98,3,4228,2015-06-21
99,9,12502,2015-07-01
100,5,9221,2015-06-25
101,2,295,2015-06-16
102,8,48844,2015-06-29
103,2,37172,2015-06-18
104,9,19476,2015-06-14
105,7,49548,2015-06-29
106,1,22479,2015-06-09
107,8,40856,2015-06-24
108,5,33917,2015-06-22
109,6,38551,2015-06-20
110,1,27806,2015-06-22
111,8,30007,2015-06-11
112,2,8140,2015-07-01
113,6,31352,2015-06-29
114,9,32579,2015-06-30
115,1,49360,2015-06-06
116,9,20323,2015-06-26
117,4,24711,2015-06-21
118,3,40600,2015-07-01
119,4,5605,2015-06-08
120,2,5785,2015-06-23
121,8,22978,2015-06-18
122,9,47338,2015-06-22
123,2,2951,2015-06-24
124,7,25378,2015-06-11
125,9,39449,2015-07-01
126,8,41248,2015-06-29
127,9,41435,2015-06-06
128,5,33506,2015-06-23
129,8,15049,2015-06-05
130,4,22756,2015-06-25
131,7,29993,2015-06-30
132,6,17972,2015-06-11
133,7,14646,2015-06-19
134,7,6700,2015-06-30
135,2,2342,2015-06-21
136,9,40239,2015-06-12
137,5,10218,2015-06-29
138,5,29153,2015-06-12
139,2,17541,2015-06-19
140,1,4303,2015-06-13
141,9,48504,2015-06-24
142,8,42899,2015-06-28
143,3,10165,2015-06-07
144,1,41203,2015-07-01
145,3,18714,2015-06-30
146,6,47117,2015-06-17
147,3,11940,2015-06-28
148,9,31659,2015-06-26
149,8,30455,2015-06-30
150,1,49162,2015-06-29
151,5,38931,2015-06-21
152,7,46265,2015-06-29
153,2,23665,2015-07-01
154,1,12245,2015-06-25
155,1,7074,2015-06-10
156,6,13530,2015-06-14
157,4,17298,2015-06-15
158,8,8194,2015-06-27
159,4,190,2015-06-10
160,7,38493,2015-06-05
161,7,11915,2015-06-15
162,5,13239,2015-06-09
163,2,1313,2015-06-07
164,2,30044,2015-07-01
165,3,17573,2015-06-28
166,1,30669,2015-06-11
167,2,18853,2015-06-13
168,3,37892,2015-06-09
169,1,35054,2015-06-08
170,3,43008,2015-06-10
171,9,17428,2015-06-25
172,2,14460,2015-06-16
173,4,22029,2015-06-29
174,1,43272,2015-06-27
175,7,17355,2015-06-18
176,3,45703,2015-06-04
177,7,22933,2015-06-23
178,1,2624,2015-06-21
179,3,32918,2015-06-23
180,4,46569,2015-06-20
181,1,18567,2015-06-14
182,5,28244,2015-06-18
183,1,43983,2015-06-17
184,3,18832,2015-06-26
185,1,3660,2015-06-16
